Latitud,Longitud,Provincias
"-36,67694152","-60,55883198",BUENOS AIRES
"-27,33583328","-66,94768243",CATAMARCA
"-26,38643091","-60,76583074",CHACO
"-43,78862335","-68,52675939",CHUBUT
"-34,61449341","-58,44585635",CIUDAD AUTONOMA DE BUENOS AIRES
"-31,417339","-64,183319",CÓRDOBA
"-28,7743047","-57,8012192",CORRIENTES
"-32,05887354","-59,20144755",ENTRE RÍOS
"-24,89497259","-59,93244058",FORMOSA
"-23,32007842","-65,76425222",JUJUY
"-37,13155377","-65,44665466",LA PAMPA
"-29,6857763","-67,18173597",LA RIOJA
"-34,62988731","-68,58312282",MENDOZA
"-26,87539651","-54,65169662",MISIONES
"-38,64175758","-70,11857052",NEUQUÉN
"-40,40579572","-67,22932989",RÍO NEGRO
"-24,29913445","-64,81446296",SALTA
"-30,865368","-68,88949085",SAN JUAN
"-33,75772574","-66,02812982",SAN LUIS
"-48,81548518","-69,95576217",SANTA CRUZ
"-30,70692716","-60,94983694",SANTA FE
"-27,78241166","-63,25238666",SANTIAGO DEL ESTERO
"-54,362","-67,638",TIERRA DEL FUEGO
"-26,94780018","-65,36475794",TUCUMÁN
